id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
103875,https://www.airbnb.com/rooms/103875,20231223055446,2023-12-23,city scrape,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,,"This neighborhood is great, students, expats and a lot of artist. Incredibly many and good restaurants, boat cafes on and along the canal. It is a special neighborhood, full of diversity of people. Chinatown is around the corner, the parliament 5 min. from your house and the bakery and supermarket around the corner. Many terraces and shops. if you want peace and tranquility, just 600 meters away you can walk into the forest and from there the beautiful dune area. You can rent bicycles on the canal, all within walking distance",https://a0.muscache.com/pictures/66433033/c313c2c8_original.jpg,541315,https://www.airbnb.com/users/show/541315,Arthur,2011-04-28,"The Hague, Netherlands","We are a friendly couple who live in the center of this beautiful city. Open-minded and easy going in life. We have a few trendy short Stay apartments right in the old city center of The Hague.  We are the place to stay When you are in need of accommodation. Whether it be for a business trip, an internship, a holiday or a transition period, we have plenty of possibilities. We have been around for a while and we know how to do things right. Service is our pleasure!

Our apartment is fully furnished, newly renovated and available for short term rentals Throughout the Year. Situated in the picturesque old city center of The Hague, within walking distance from both Central Station and Holland Spoor train station, it is the ideal 'home away from home'. Also within walking distance, one can find numerous at shops, grocery stores and restaurants. The all-in price includes furniture, fittings and fixtures, energy, water, internet connection, TV, service costs and a janitor. And of course there's a washing machine and a drier, pots and pans, bed linen, towels, a bathrobe, iron and ironing board, cups, plates and whatsoever.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/49d7d6fa-ac50-428c-9311-d93d378f1fd7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/49d7d6fa-ac50-428c-9311-d93d378f1fd7.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'work_email']",t,t,"The Hague, South Holland, Netherlands",Zuidwal,Wijk 28 Centrum,52.07453,4.31669,Entire rental unit,Entire home/apt,2,,1.5 baths,,1,[],$125.00,4,1125,4,4,1125,1125,4.0,1125.0,,t,0,0,0,0,2023-12-23,20,0,0,2012-05-11,2021-11-12,4.79,4.9,4.85,5.0,5.0,4.95,4.85,0518B3A6F34367DC62EA,f,3,3,0,0,0.14
378711,https://www.airbnb.com/rooms/378711,20231223055446,2023-12-23,city scrape,Loft in The Hague · ★4.52 · Studio · 2 beds · 1 private bath,,Onze groene en rustige buurt ligt zeer gunstig; op loopafstand (20 min) van strand en dichtbij het centrum.,https://a0.muscache.com/pictures/ed90f502-c421-4dce-8b6e-cc495ea8e1cf.jpg,1902132,https://www.airbnb.com/users/show/1902132,Karen,2012-03-11,"The Hague, Netherlands","Hai there, since 2010 we are happy to welcome quests in our beautiful house. We are happy to hear that they also entjoy our surrending, the beach, dunes and cities.",N/A,N/A,71%,f,https://a0.muscache.com/im/pictures/user/8312950c-c09a-4197-855d-7d05b6be720f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8312950c-c09a-4197-855d-7d05b6be720f.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"The Hague, South Holland, Netherlands",Duttendel,Wijk 03 Westbroekpark en Duttendel,52.10673,4.30498,Private room in loft,Private room,2,,1 private bath,,2,[],$120.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,237,2023-12-23,25,4,0,2019-04-16,2023-09-23,4.52,4.6,4.52,4.92,4.84,4.68,4.12,0518 8B36 A437 A071 6DE3,f,2,1,1,0,0.44
450807,https://www.airbnb.com/rooms/450807,20231223055446,2023-12-23,city scrape,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,,Theresiastraat: nice restaurants and shops around the corner.<br />Forest (Haagse bos) to run is 3 minutes walk.,https://a0.muscache.com/pictures/41006378/932e2197_original.jpg,2238496,https://www.airbnb.com/users/show/2238496,Saskia,2012-04-27,"The Hague, Netherlands",Welcome to Zen in de City. We are a family that live in a comfortable house on the groundfloor with garden in the middle of Den Haag. With nice restaurants and shop just around the corner. It is also close to the sea (20 minutes on bike). We surf in Scheveningen. We like to share our nice typical Dutch place with people all over the world. So feel free and welcome to stay with us.,within an hour,100%,67%,f,https://a0.muscache.com/im/users/2238496/profile_pic/1335559927/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2238496/profile_pic/1335559927/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"The Hague, South Holland, Netherlands",Bezuidenhout-Midden,Wijk 26 Bezuidenhout,52.08399,4.33062,Entire rental unit,Entire home/apt,3,,1.5 baths,,1,[],$150.00,1,24,1,1,24,24,1.0,24.0,,t,0,0,0,195,2023-12-23,127,2,0,2012-06-04,2023-10-23,4.79,4.79,4.79,4.89,4.82,4.96,4.81,0518 2B37 5D9E E68B 7E90,f,1,1,0,0,0.90
492615,https://www.airbnb.com/rooms/492615,20231223055446,2023-12-23,city scrape,Condo in The Hague · ★4.51 · 1 bedroom · 2 beds · 1.5 shared baths,,,https://a0.muscache.com/pictures/14286795/013575ee_original.jpg,1003354,https://www.airbnb.com/users/show/1003354,Paul,2011-08-22,"The Hague, Netherlands","I'm an American Expat with dual nationality living now 28 years in the Netherlands. I really enjoy the Netherlands as my adopted home country and have no plans to return to the US other than for visits.

On a personal level, I have three daughters 25 , 30 and 44 with the two youngest growing up in the Netherlands and attending Dutch schools. 

Two of the three lived in the US : Washington DC and New York ( but now Marseille)  

My 30 year old moved first back to Holland 8 years ago , then Brussels and now Helsinki and is active in the environmental movement .

My oldest owns a home in Williamsburg, Brooklyn ( now living in Marseille) and founded an environmental NGO 14+ years ago ( Human Impacts Institute) and has a  5 year old daughter.

Lastly my youngest moved to DC 2 years ago after graduating 5 years ago from College of Charleston with high honors in International relations and political science. 

You wouldn't be wrong to deduce that I'm quite proud of these three lovely ladies.

As for myself, I have traveled a lot over the last 40 + years for both work and pleasure and really enjoy meeting people so when I first heard of Airbnb almost 13  years ago, the concept of Airbnb appealed to me.

On a personal level, I have had an interesting career in high-tech international sales management. In my pleasure time I have quite varied interests but I am very much an outdoors person. I enjoy sailing, tennis, biking, camping, skiing etc. and I am as well a classical musician and a world class tournament bridge player. 

I have always loved to travel and meet people and have been doing just that since my teenage years when I hitchhiked with hair to my waist, a biker jacket and a backpack from Washington DC to San Francisco in the middle of the Hippy Era 1971 . ... can't say I regret it !!

Back to the present: 

I renovated my 3 bedroom flat in Centrum Den Haag 15 years ago when my two then teenage daughters still lived in the Netherlands and spent weekends with me. 

I then set up the two small bedrooms in my 3 bedroom flat with bunk beds to accomodate friends staying over.

Before I began hosting through Airbnb,  I occasionally rented  out a room to interns/foreign students and now have been hosting for the last 12 years through Airbnb. 

Hosting with Airbnb has been overall a very interesting and rewarding experience. 

I have found almost without exception my Airbnb guests from all over the world and from very differing backgrounds to be very interesting , considerate and nice to be around.

As you are now reading my profile, I hope that you will consider staying at my flat and I  look forward to welcoming you to my home and my adopted city of Den Haag.

Regards,

Paul ",within an hour,100%,99%,f,https://a0.muscache.com/im/users/1003354/profile_pic/1337685872/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1003354/profile_pic/1337685872/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Schildersbuurt-West,Wijk 29 Schildersbuurt,52.07198,4.29595,Private room in condo,Private room,2,,1.5 shared baths,,2,[],$49.00,2,12,2,2,12,12,2.0,12.0,,t,23,43,73,236,2023-12-23,385,66,3,2012-06-17,2023-12-17,4.51,4.61,4.06,4.86,4.88,4.59,4.58,05188F255B48V7D7EF83,f,2,0,2,0,2.75
523633,https://www.airbnb.com/rooms/523633,20231223055446,2023-12-23,city scrape,Rental unit in Den Haag · ★4.70 · 1 bedroom · 1 bed · 1 bath,,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local.We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",https://a0.muscache.com/pictures/c20980bc-0f67-4bb8-bbe2-28c1dc548cfa.jpg,300966,https://www.airbnb.com/users/show/300966,Elwin,2010-11-27,"The Hague, Netherlands","I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_x_medium,,20,22,"['email', 'phone', 'work_email']",t,t,"Den Haag, South Holland, Netherlands",Laakhaven-Oost,Wijk 38 Laakkwartier en Spoorwijk,52.0706731414303,4.325683157233615,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$219.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2023-12-23,409,19,1,2012-06-22,2023-12-02,4.7,4.8,4.6,4.8,4.77,4.66,4.71,Exempt,t,20,20,0,0,2.92
628445,https://www.airbnb.com/rooms/628445,20231223055446,2023-12-23,city scrape,Serviced apartment in Den Haag · ★4.64 · 1 bedroom · 1 bed · 1 bath,,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",https://a0.muscache.com/pictures/08ecb8ca-a21f-4cae-aea6-d548cfc74b90.jpg,300966,https://www.airbnb.com/users/show/300966,Elwin,2010-11-27,"The Hague, Netherlands","I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_x_medium,,20,22,"['email', 'phone', 'work_email']",t,t,"Den Haag, South Holland, Netherlands",Huygenspark,Wijk 27 Stationsbuurt,52.07055,4.32493,Entire serviced apartment,Entire home/apt,2,,1 bath,,1,[],$248.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,24,54,84,359,2023-12-23,263,6,1,2012-09-05,2023-11-28,4.64,4.79,4.45,4.74,4.72,4.59,4.56,Exempt,t,20,20,0,0,1.91
635931,https://www.airbnb.com/rooms/635931,20231223055446,2023-12-23,city scrape,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bed · 1 bath,,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",https://a0.muscache.com/pictures/fc097188-8568-454e-a850-eaae62f0fe9a.jpg,300966,https://www.airbnb.com/users/show/300966,Elwin,2010-11-27,"The Hague, Netherlands","I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_x_medium,,20,22,"['email', 'phone', 'work_email']",t,t,"Den Haag, South Holland, Netherlands",Rivierenbuurt-Zuid,Wijk 27 Stationsbuurt,52.07221,4.32558,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$223.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,7,37,67,340,2023-12-23,148,7,1,2012-08-27,2023-12-10,4.65,4.63,4.37,4.66,4.7,4.61,4.6,Exempt,t,20,20,0,0,1.07
635974,https://www.airbnb.com/rooms/635974,20231223055446,2023-12-23,city scrape,Rental unit in Den Haag · ★4.57 · 1 bedroom · 1 bed · 1 bath,,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",https://a0.muscache.com/pictures/da04f20c-c27b-4c4f-bd79-f8f209cc2bd8.jpg,300966,https://www.airbnb.com/users/show/300966,Elwin,2010-11-27,"The Hague, Netherlands","I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-300966/original/aafe6d84-e2c2-4db6-8952-57c95748e3e9.jpeg?aki_policy=profile_x_medium,,20,22,"['email', 'phone', 'work_email']",t,t,"Den Haag, South Holland, Netherlands",Huygenspark,Wijk 27 Stationsbuurt,52.07137,4.32465,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$272.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,21,296,2023-12-23,231,14,0,2012-10-07,2023-08-24,4.57,4.68,4.42,4.77,4.68,4.62,4.52,Exempt,t,20,20,0,0,1.69
641820,https://www.airbnb.com/rooms/641820,20231223055446,2023-12-23,city scrape,Rental unit in The Hague · ★4.59 · 2 bedrooms · 1 bed · 1.5 baths,,Benoordenhout (the neigborhood where my B&B is) is a wonderfull quiet part of The Hague.,https://a0.muscache.com/pictures/14310979/e9ef6f29_original.jpg,3206829,https://www.airbnb.com/users/show/3206829,Coco,2012-08-09,"The Hague, Netherlands","Op mijn eigen reizen heb ik vaak gebruikt gemaakt van kleine B&B's.

De gastvrijheid, het persoonlijke contact en de kleinschaligheid heeft mij altijd aangetrokken.

Toen ik mijn appartement in Benoordenhout betrok, ben ik naar dit idee mijn eigen B & B gestart.

Ik heb een eigen atelier, waar ik werk aan schilderopdrachten.
Ik luister veel naar muziek, speel piano en zing in koren.


",within an hour,100%,71%,f,https://a0.muscache.com/im/users/3206829/profile_pic/1393258761/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3206829/profile_pic/1393258761/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"The Hague, South Holland, Netherlands",Duinzigt,Wijk 04 Benoordenhout,52.10292,4.32035,Entire rental unit,Entire home/apt,2,,1.5 baths,,1,[],$80.00,2,30,2,5,30,30,2.4,30.0,,t,15,40,66,326,2023-12-23,259,11,0,2013-07-02,2023-07-31,4.59,4.75,4.88,4.87,4.86,4.64,4.53,0518 39C4 1D10 992B 8F94,f,1,1,0,0,2.03
730922,https://www.airbnb.com/rooms/730922,20231223055446,2023-12-23,city scrape,Condo in The Hague · ★4.48 · 1 bedroom · 1 bed · 1.5 shared baths,,,https://a0.muscache.com/pictures/10c71ad5-2f93-4b18-9ac0-9fe0da476f0f.jpg,1003354,https://www.airbnb.com/users/show/1003354,Paul,2011-08-22,"The Hague, Netherlands","I'm an American Expat with dual nationality living now 28 years in the Netherlands. I really enjoy the Netherlands as my adopted home country and have no plans to return to the US other than for visits.

On a personal level, I have three daughters 25 , 30 and 44 with the two youngest growing up in the Netherlands and attending Dutch schools. 

Two of the three lived in the US : Washington DC and New York ( but now Marseille)  

My 30 year old moved first back to Holland 8 years ago , then Brussels and now Helsinki and is active in the environmental movement .

My oldest owns a home in Williamsburg, Brooklyn ( now living in Marseille) and founded an environmental NGO 14+ years ago ( Human Impacts Institute) and has a  5 year old daughter.

Lastly my youngest moved to DC 2 years ago after graduating 5 years ago from College of Charleston with high honors in International relations and political science. 

You wouldn't be wrong to deduce that I'm quite proud of these three lovely ladies.

As for myself, I have traveled a lot over the last 40 + years for both work and pleasure and really enjoy meeting people so when I first heard of Airbnb almost 13  years ago, the concept of Airbnb appealed to me.

On a personal level, I have had an interesting career in high-tech international sales management. In my pleasure time I have quite varied interests but I am very much an outdoors person. I enjoy sailing, tennis, biking, camping, skiing etc. and I am as well a classical musician and a world class tournament bridge player. 

I have always loved to travel and meet people and have been doing just that since my teenage years when I hitchhiked with hair to my waist, a biker jacket and a backpack from Washington DC to San Francisco in the middle of the Hippy Era 1971 . ... can't say I regret it !!

Back to the present: 

I renovated my 3 bedroom flat in Centrum Den Haag 15 years ago when my two then teenage daughters still lived in the Netherlands and spent weekends with me. 

I then set up the two small bedrooms in my 3 bedroom flat with bunk beds to accomodate friends staying over.

Before I began hosting through Airbnb,  I occasionally rented  out a room to interns/foreign students and now have been hosting for the last 12 years through Airbnb. 

Hosting with Airbnb has been overall a very interesting and rewarding experience. 

I have found almost without exception my Airbnb guests from all over the world and from very differing backgrounds to be very interesting , considerate and nice to be around.

As you are now reading my profile, I hope that you will consider staying at my flat and I  look forward to welcoming you to my home and my adopted city of Den Haag.

Regards,

Paul ",within an hour,100%,99%,f,https://a0.muscache.com/im/users/1003354/profile_pic/1337685872/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1003354/profile_pic/1337685872/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Schildersbuurt-West,Wijk 29 Schildersbuurt,52.07198,4.29595,Private room in condo,Private room,1,,1.5 shared baths,,1,[],$40.00,2,6,2,2,6,6,2.0,6.0,,t,5,25,55,233,2023-12-23,285,48,1,2013-06-26,2023-12-10,4.48,4.63,3.98,4.86,4.94,4.59,4.53,0518 8F25 5B48 C7D7 EF83,f,2,0,2,0,2.23
