id,source,name,description,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighborhood,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
103875,city scrape,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,,541315,Arthur,2011-04-28,"The Hague, Netherlands",100%,100%,f,3,,Wijk 28 Centrum,52.07453,4.31669,Entire rental unit,Entire home/apt,2,1,$125.00,4,1125,20,4.79
378711,city scrape,Loft in The Hague · ★4.52 · Studio · 2 beds · 1 private bath,,1902132,Karen,2012-03-11,"The Hague, Netherlands",N/A,71%,f,3,,Wijk 03 Westbroekpark en Duttendel,52.10673,4.30498,Private room in loft,Private room,2,2,$120.00,3,1125,25,4.52
450807,city scrape,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,,2238496,Saskia,2012-04-27,"The Hague, Netherlands",100%,67%,f,1,,Wijk 26 Bezuidenhout,52.08399,4.33062,Entire rental unit,Entire home/apt,3,1,$150.00,1,24,127,4.79
492615,city scrape,Condo in The Hague · ★4.51 · 1 bedroom · 2 beds · 1.5 shared baths,,1003354,Paul,2011-08-22,"The Hague, Netherlands",100%,99%,f,2,,Wijk 29 Schildersbuurt,52.07198,4.29595,Private room in condo,Private room,2,2,$49.00,2,12,385,4.51
523633,city scrape,Rental unit in Den Haag · ★4.70 · 1 bedroom · 1 bed · 1 bath,,300966,Elwin,2010-11-27,"The Hague, Netherlands",100%,99%,t,22,,Wijk 38 Laakkwartier en Spoorwijk,52.0706731414303,4.325683157233615,Entire rental unit,Entire home/apt,2,1,$219.00,1,1125,409,4.7
628445,city scrape,Serviced apartment in Den Haag · ★4.64 · 1 bedroom · 1 bed · 1 bath,,300966,Elwin,2010-11-27,"The Hague, Netherlands",100%,99%,t,22,,Wijk 27 Stationsbuurt,52.07055,4.32493,Entire serviced apartment,Entire home/apt,2,1,$248.00,1,1125,263,4.64
635931,city scrape,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bed · 1 bath,,300966,Elwin,2010-11-27,"The Hague, Netherlands",100%,99%,t,22,,Wijk 27 Stationsbuurt,52.07221,4.32558,Entire rental unit,Entire home/apt,2,1,$223.00,1,1125,148,4.65
635974,city scrape,Rental unit in Den Haag · ★4.57 · 1 bedroom · 1 bed · 1 bath,,300966,Elwin,2010-11-27,"The Hague, Netherlands",100%,99%,t,22,,Wijk 27 Stationsbuurt,52.07137,4.32465,Entire rental unit,Entire home/apt,2,1,$272.00,1,1125,231,4.57
641820,city scrape,Rental unit in The Hague · ★4.59 · 2 bedrooms · 1 bed · 1.5 baths,,3206829,Coco,2012-08-09,"The Hague, Netherlands",100%,71%,f,1,,Wijk 04 Benoordenhout,52.10292,4.32035,Entire rental unit,Entire home/apt,2,1,$80.00,2,30,259,4.59
730922,city scrape,Condo in The Hague · ★4.48 · 1 bedroom · 1 bed · 1.5 shared baths,,1003354,Paul,2011-08-22,"The Hague, Netherlands",100%,99%,f,2,,Wijk 29 Schildersbuurt,52.07198,4.29595,Private room in condo,Private room,1,1,$40.00,2,6,285,4.48
